path,kind,size,imports,imported_by,has_export,has_default_export
.eslintrc.cjs,file,1294,0,0,true,false
.eslintrc.json,file,1498,0,0,false,false
.github/pull_request_template.md,file,731,0,0,false,false
.netlify/state.json,file,372,0,0,false,false
ai/deck/replyDeck.js,file,5941,0,0,true,false
ai/deck/replyModalDeck.js,file,12209,0,0,false,false
ai/providers/adapter_spec.md,file,595,0,0,false,false
ai/providers/geminiClient.js,file,10804,0,0,true,false
AI_Bradaa_Windsurf_Final_Draft_Checklist.LOCKED.md,file,1364,0,0,false,false
AI_Bradaa_Windsurf_Final_Draft_Checklist.md,file,11540,0,0,false,false
ai_pod/adapters/aiClient.js,file,1962,0,1,true,false
ai_pod/clients/geminiClient.js,file,4146,1,0,false,false
ai_pod/config/governance.mobile.json,file,211,0,0,false,false
ai_pod/Council Lenses Mentor Board.json,file,63413,0,0,false,false
ai_pod/data/intel/tech_signals.json,file,1020,0,0,false,false
ai_pod/data/laptops/explorer.top10.gaming.json,file,1371,0,0,false,false
ai_pod/data/laptops/top35.cache.json,file,6527,0,0,false,false
ai_pod/data/normalizeLaptop.js,file,4688,0,2,true,true
ai_pod/data/persona_weights.json,file,121,0,0,false,false
ai_pod/docs/csp.example.md,file,1578,0,0,false,false
ai_pod/docs/LENS_COVERAGE_V1_summary.md,file,259,0,0,false,false
ai_pod/docs/mobile.md,file,1172,0,0,false,false
ai_pod/docs/sri-manifest.example.json,file,400,0,0,false,false
ai_pod/Master Operation Config.json,file,4567,0,0,false,false
ai_pod/MASTER_UNIVERSAL_BLUEPRINT.json,file,8463,0,0,false,false
ai_pod/mentors_enriched.json,file,257524,0,0,false,false
ai_pod/mobile/background/androidWork.js,file,425,0,0,false,false
ai_pod/mobile/background/iosBgTask.js,file,382,0,0,false,false
ai_pod/mobile/bridge/appLinks.js,file,553,0,0,false,false
ai_pod/mobile/bridge/deepLinkRouter.js,file,1231,0,0,false,false
ai_pod/mobile/bridge/index.js,file,515,0,0,false,false
ai_pod/mobile/bridge/offlineQueue.js,file,1229,0,0,false,false
ai_pod/mobile/bridge/share.js,file,981,0,0,false,false
ai_pod/mobile/config/capacitor.config.json,file,152,0,0,false,false
ai_pod/mobile/deeplinks/android/assetlinks.json,file,318,0,0,false,false
ai_pod/mobile/security/secureStorage.js,file,680,0,0,false,false
ai_pod/mobile/shortcuts/ios.appintents.json,file,179,0,0,false,false
ai_pod/prototypes/soul_v1/fsm.js,file,6974,0,0,false,false
ai_pod/scripts/inject_sri.js,file,3148,0,0,false,false
ai_pod/sources/sources_index.curated.md,file,37315,0,0,false,false
ai_pod/sources/sources_index.md,file,39500,0,0,false,false
ai_pod/syeddy-orchestrator.flagON.json,file,4362,0,0,false,false
ai_pod/syeddy-orchestrator.json,file,4309,0,0,false,false
ai_pod/tests/check_assets_licenses.js,file,3269,0,0,false,false
ai_pod/tests/hardening-gate.mjs,file,0,0,0,false,false
ai_pod/tests/laptops.spec.mjs,file,4069,1,0,false,false
ai_pod/tests/mobile_check.js,file,1127,0,0,false,false
ai_pod/tests/test_report.md,file,1253,0,0,false,false
ai_pod/tokens/laptops.tokens.json,file,154,0,0,false,false
ai_pod/validator.js,file,302,0,0,true,false
app/AI Bradaa Soul prototype v1.html,file,15285,0,0,false,false
app/assets/lottie/ai-bradaa-soul-inner.json,file,5919,0,0,false,false
app/assets/lottie/ai-bradaa-soul.json,file,18202,0,0,false,false
app/css/ai-pod-loading.css,file,0,0,0,false,false
app/css/ai-pod-result.css,file,0,0,0,false,false
app/css/tokens.css,file,0,0,0,false,false
app/i18n/en.json,file,315,0,0,false,false
app/i18n/ms.json,file,347,0,0,false,false
app/index.v15.2.html,file,248404,0,0,false,false
app/js/ai-pod-loader.js,file,288,3,0,false,false
app/js/ai-pod-v2-pro.js,file,0,0,0,false,false
app/js/aipod/ai-pod-view.js,file,2,0,0,false,false
app/js/aipod/fluid-core.js,file,0,0,0,false,false
app/js/aipod/intel-cards.js,file,5414,1,1,true,false
app/js/aipod/loading-controller.js,file,2,0,0,false,false
app/js/aipod/mock-provider.js,file,121,0,0,true,false
app/js/aipod/progress-ring.js,file,0,0,0,false,false
app/js/aipod/provider-proxy.js,file,1412,0,0,false,false
app/js/aipod/result-view.js,file,0,0,0,false,false
app/js/aipod/runtime-lite.js,file,7623,0,3,true,true
app/js/aipod/runtime.js,file,2456,0,0,false,true
app/js/aipod/tools-wire.js,file,8099,1,1,true,false
app/js/bradaa-flags.js,file,254,0,0,false,false
app/js/CSS.html,file,9934,0,0,false,false
app/js/deck-emit-shim.js,file,0,0,0,false,false
app/js/i18n.js,file,418,0,0,true,false
app/js/legacy-deck-emit-shim.js,file,128,0,0,false,false
app/js/soul.js,file,5701,0,0,false,false
archive/20251012/ai_pod/Council Lenses Mentor Board.json,file,60844,0,0,false,false
archive/20251012/ai_pod/docs/LENS_COVERAGE_V1_summary.md,file,259,0,0,false,false
archive/20251012/ai_pod/Master Operation Config.json,file,4354,0,0,false,false
archive/20251012/ai_pod/MASTER_UNIVERSAL_BLUEPRINT.json,file,8149,0,0,false,false
archive/20251012/ai_pod/mentors_enriched.json,file,248342,0,0,false,false
archive/20251012/ai_pod/sources/sources_index.curated.md,file,37315,0,0,false,false
archive/20251012/ai_pod/sources/sources_index.md,file,39500,0,0,false,false
archive/20251012/ai_pod/syeddy-orchestrator.flagON.json,file,4156,0,0,false,false
archive/20251012/ai_pod/syeddy-orchestrator.json,file,4104,0,0,false,false
archive/20251012/ai_pod/tests/test_report.md,file,1253,0,0,false,false
archive/20251012/ai_pod/validator.js,file,302,0,0,true,false
archive/datasets/20251023-2140/.eslintrc.cjs,file,1344,0,0,false,false
archive/datasets/20251023-2140/.eslintrc.json,file,842,0,0,false,false
archive/datasets/20251023-2140/package-lock.json,file,609651,0,0,false,false
archive/datasets/20251023-2140/package.json,file,3244,1,0,false,false
archive/datasets/20251023-2140/tsconfig.eslint.json,file,139,0,0,false,false
archive/datasets/20251023-2140/tsconfig.json,file,973,0,0,false,false
AUDIT-REPORT.md,file,16328,0,0,true,false
CHANGELOG.md,file,6108,0,0,false,false
css/ai-pod-critical.css,file,515,0,0,false,false
data/fallbackLaptops.json,file,38671,0,0,false,false
data/Laptop Catelogue/data/laptops/appendix65.json,file,144603,0,0,false,false
data/Laptop Catelogue/data/laptops/index.json,file,304,0,0,false,false
data/Laptop Catelogue/data/laptops/schema.json,file,2745,0,0,false,false
data/Laptop Catelogue/data/laptops/shortlist35.json,file,77588,0,0,false,false
data/Laptop Catelogue/data/laptops/top10.json,file,22133,0,0,false,false
data/Laptop Catelogue/data/laptops/top100.json,file,222189,0,0,false,false
data/Laptop Catelogue/README.md,file,351,0,0,false,false
data/Laptop Catelogue/scripts/fetch/auto/fetch_prices.js,file,184,0,0,false,false
data/Laptop Catelogue/scripts/validate/validator.js,file,705,0,0,false,false
data/laptops.json,file,68777,0,0,false,false
data/laptops.schema.json,file,649,0,0,false,false
dist/ai/deck/replyDeck.js,file,5941,0,0,true,false
dist/ai/deck/replyModalDeck.js,file,12209,0,0,false,false
dist/ai/providers/adapter_spec.md,file,595,0,0,false,false
dist/ai/providers/geminiClient.js,file,10804,0,0,true,false
dist/ai_pod/adapters/aiClient.js,file,1962,0,1,false,false
dist/ai_pod/clients/geminiClient.js,file,4146,1,0,false,false
dist/ai_pod/config/governance.mobile.json,file,211,0,0,false,false
dist/ai_pod/Council Lenses Mentor Board.json,file,63413,0,0,false,false
dist/ai_pod/data/intel/tech_signals.json,file,1020,0,0,false,false
dist/ai_pod/data/laptops/explorer.top10.gaming.json,file,1371,0,0,false,false
dist/ai_pod/data/laptops/top35.cache.json,file,6527,0,0,false,false
dist/ai_pod/data/persona_weights.json,file,121,0,0,false,false
dist/ai_pod/docs/csp.example.md,file,1578,0,0,false,false
dist/ai_pod/docs/LENS_COVERAGE_V1_summary.md,file,259,0,0,false,false
dist/ai_pod/docs/mobile.md,file,1172,0,0,false,false
dist/ai_pod/docs/sri-manifest.example.json,file,400,0,0,false,false
dist/ai_pod/Master Operation Config.json,file,4567,0,0,false,false
dist/ai_pod/MASTER_UNIVERSAL_BLUEPRINT.json,file,8463,0,0,false,false
dist/ai_pod/mentors_enriched.json,file,257524,0,0,false,false
dist/ai_pod/mobile/background/androidWork.js,file,425,0,0,false,false
dist/ai_pod/mobile/background/iosBgTask.js,file,382,0,0,false,false
dist/ai_pod/mobile/bridge/appLinks.js,file,553,0,0,false,false
dist/ai_pod/mobile/bridge/deepLinkRouter.js,file,1231,0,0,false,false
dist/ai_pod/mobile/bridge/index.js,file,515,0,0,false,false
dist/ai_pod/mobile/bridge/offlineQueue.js,file,1229,0,0,false,false
dist/ai_pod/mobile/bridge/share.js,file,981,0,0,false,false
dist/ai_pod/mobile/config/capacitor.config.json,file,152,0,0,false,false
